index,text
4,"The 3 T-Shirts we ordered were not as pictured and were smaller than the size guide.  We did, however, receive a refund less shipping costs after many phone calls to the seller and amazon.  The seller does not promtly return phone calls"
33,"These shoes look great on, however are extremely uncomfortable.  They run VERY small in size (I went up 1 1/2 sizes from what I normally wear in SM brand).  

I would not recommend them as shoes you would wear for more than an hour at a time because the thong portion cuts into your skin and the arches in the heels are so high that they put alot of pressure on the ball of your foot"
34,"For the money I spent on this bra it should be a better bra all around.  It gives a classic ""torpedo"" shape to the breasts, does not offer any lift, and is pretty much unwearable."
37,I bought this thinking for the price and name of item(Hardside)that I would receive something solid. What arrived was a disappointment. The outside is anything but solid. Made out of something a little harder than common plastics. Sent back item and looked for something truly worthwhile from Samsonite
41,Even for $13 I expected some quality and got very little. The dye from the leather dyed my feet during a rain storm. The footpad was so rough it irritated the botton of my foot. The leather over the toe was so rough it irritated my toe. These were REALLY poor
43,I returned this bra to exchange for size the day after I received it in October.  It is now January and I have not yet received the replacement.  I have called several times but to no avail!  I can't give a good review of this product because I haven't actually gotten to wear the bra
57,"Oh My. It enhanced my rolls instead of hide them. It did not help having the bones sticking out above my butt, which was very noticeable. Not worth the money charged for it."
77,"I am in great shape.  However, I cannot get over that so many men's underwear products have waist bands that constrict and exasperarate blood flow and muscle tension.  Obviously they are made in China where the average waist is about 25 inches.  

The idea of ""Medium"" as marketed is ridiculous by healthy American standards.  My body fat is low.  I am not profoundly muscular bound. As is common in men of my age, lower back problems are not unusual. I have a 32"" waist.  Is that not ""Medium"" sized? 

I think we simply need to get rid of the elastic waist band altogether.  One size fits all doesn't work and it is dangerous to those many of us that fight our lower back problems.  

The draw string is fine.  It allows flexibility.  So what if your pants fall down?  It seems to be the fashion, anyway.  Just give us the option of pulling the shorts back up instead of pinching nerves with a static elastic waist band that causes ridiculous lower back problems because of unnecessary, uncontrollable constrictions.  

Also, these boxers don't hold up well to any kind of washing.  They looked like crap after the first time I washed them.

I wish I could get a refund because I won't wear them again.  My life partner told me they looked like ""old men's"" underwear. That is sad and embarrassing because I agree they looked like crap after one cold wash and light dry.

I am not a mean hearted kind of guy.  So, I am going to shut my mouth now and not do business with you again."
85,I ordered these based on the picture---a high cut brief. These are not the ones they sent me and now I have to pay to return them! Rip off!!! Zero stars
86,I would not buy this product again.  It hurts my heeles badly because it is so narrow at that end
89,"Thin, cheap fabric barely represents flannel. Additionally the waist has a button on the hip..Who puts a button for a pair of PJ pants on the hip? I returned them immediatly. Not worth the price at al"
115,"I bought some of these - I find they have a large seam on the right side which digs into my skin and is quite uncomfortable.  Other than that they are OK, but because of this I mostly wear these inside out"
130,This shoe is cut right underneath the ankle. Everytime you walk the edge of the shoe rubs into your ankle and causes extreme discomfort and blisters.
138,These body suits are awful! When I first saw them I was really relieved that I had found something that would be good for the summer months. I put them on my twins after a first wash and the velcro closure scraped up the insides of their delicate little legs! The suits were the appropriate size and were washed according to the label. I am so disappointed and angry. It was a waste of my money.
143,My husaband had them for only a month before they came unsewn at the toes. Not a small hole but it went all the way across. And in both shoes. Not put together right. Very disappointed. To much money to fall apart!!!!!!!
148,"On Sept 17 I ordered a cashmere wrap. I finally got the company's attention when I placed a negative review on this forum. I was told if I removed the review after recieving the item, I would be credited for shipping. The item arrived Oct 16. As of today, November 20, my credit card had not been credited. I emailed the company and was told the credit should appear in four to five days."
149,"I purchased two scarves and in the first washing the thread in the hems unraveled, producing a ragged fringe all around.  These bandanas are thin, flimsy, and not worth the time or money"
157,"I washed 'em and they shrunk up so small I can't wear 'em anymore, bummer"
192,"The robe does not fit me. I wanted to return it, got a return item number, got busy, and did not get it in the mail soon enough. They have a strict 30 day return ploicy. Nordstroms does not do this. I could exchange it there.

Sorry I got a job and not time for petty rules. I will go elsewhere next time"
199,"I ordered this Dress on March 6th. I recevied an email from the company saying that it would ship by March 8th. On March 16th, I receive an email saying that they are out the size I wanted and my order has been canceled. This is unacceptable from a business. I should have been notified by March 9th that the dress had not been shipped. I have less than 24 hours to find a replacement dress. Thanks alot"
200,These shoes were not put together very well. The bottom of the heal part broke of and was bending inward from the second I put them on. If I had the choice to buy this breand again I would not. These shoes were very over priced and not put together well at all. I am very disappionted
208,"So I just got my shoes after waiting two long weeks....what a dissapointment. I open the box and immediately I see what appears to be a defect. The inside of the shoe (like on your right foot, the left side, not the right) was covered in little black dots that were smudged all over the grey area, including smudging on the asics logo. This was obviously a manufacturing defect seein it was the same color as the logo which was also smudged. Also, the shoe glue was leaking out the back of the shoe. Poorly done, last time I will ever buy ASICS shoes again"
215,"My son picked out these shoes for basketball. He liked them at first and gave them time to get broke-in, but the outsides of the shoes had no give. Most shoe will form to your foot, these did not. At the end of third stripe, you could feel a big ridge on the inside of the shoe.We had to buy a different pair of shoes that formed to his foot better. Nice looking shoe, but not the greatest fit"
221,"Mail Fraud,I believe its called!! texas shirt company if this is a real company never had this item to sell. I'm surprise Amazon.com is even associating with them..and mike to get this bent out of shape over a $12 dollar item you need to see someone to address your anger issues."
